2022 Federal Election Senate First Preferences By Polling Place for Division 122 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:23 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),O,37971,0,O Above-the-line Votes,Informed Medical Options Party,1
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),P,37985,0,P Above-the-line Votes,The Great Australian Party,2
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),P,37446,1,"HOPKINS, Matthew",The Great Australian Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,15
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,1
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,11
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),S,37750,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),S,37752,2,"GRIGG, Colin",Pauline Hanson's One Nation,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),S,37754,3,"SMITH, Roger",Pauline Hanson's One Nation,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),T,37970,0,T Above-the-line Votes,Liberal Democrats,13
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),T,36414,1,"RUDDICK, John",Liberal Democrats,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),T,36418,2,"LARTER, John",Liberal Democrats,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),T,36422,3,"CALDWELL, James Arthur",Liberal Democrats,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),T,36427,4,"GUEST, Mark Antony",Liberal Democrats,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),U,37982,0,U Above-the-line Votes,Australian Values Party,3
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),U,36942,1,"CLANCY, Selena",Australian Values Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),U,36947,2,"GILBERT, Dave",Australian Values Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),V,37978,0,V Above-the-line Votes,Labor,234
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),V,37168,1,"O'NEILL, Deborah",Labor,5
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),V,37173,2,"McALLISTER, Jenny",Labor,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),V,37180,3,"MORRIS, Shireen",Labor,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),V,37182,4,"MYERS, Mich-Elle Elizabeth",Labor,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),V,37183,5,"ROSE, Kylie Anne",Labor,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),V,37185,6,"WARREN-SMITH, James",Labor,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),W,37967,0,W Above-the-line Votes,UAP,19
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),W,36373,1,"MARTINO, Domenic Vincent",United Australia Party,1
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),W,36378,2,"WRIGHTSON, Suellen",United Australia Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),W,36380,3,"MOORE, Wayne Leslie",United Australia Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),W,36383,4,"MARTIN, Michelle",United Australia Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),W,36386,5,"YAP, Johnny",United Australia Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),W,36390,6,"LOUGHREY, Kevin Andrew",United Australia Party,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),UG,37600,1,"LIM, Danny",Independent,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),UG,37603,2,"COLLINS, Julie",Independent,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),UG,37639,3,"GRZIC, Warren",Independent,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),UG,37632,4,"LU, Guitang",Independent,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),UG,36068,5,"LAING, William",Independent,0
NSW,122,Greenway,11978,Pendle Hill Central (Greenway),ZZ,0,99,INFORMAL,,28
NSW,122,Greenway,11979,Pendle Hill (Greenway),A,37972,0,A Above-the-line Votes,Animal Justice Party,7
NSW,122,Greenway,11979,Pendle Hill (Greenway),A,36425,1,"BROLLO, Darren",Animal Justice Party,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),A,36430,2,"POWER, Julie",Animal Justice Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),B,37966,0,B Above-the-line Votes,TNL,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),B,36771,1,"KEEN, Steve",TNL,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),B,36773,2,"GREEN, Melissa",TNL,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),C,37976,0,C Above-the-line Votes,Citizens Party,2
NSW,122,Greenway,11979,Pendle Hill (Greenway),C,37147,1,"LIU, Kingsley",Citizens Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),C,37148,2,"LAWLER, Ann",Citizens Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),E,37968,0,E Above-the-line Votes,The Greens,20
NSW,122,Greenway,11979,Pendle Hill (Greenway),E,36581,1,"SHOEBRIDGE, David",The Greens,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),E,36585,2,"COHN, Amanda",The Greens,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),E,36634,3,"FLOOD, Rochelle",The Greens,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),E,36637,4,"SCOTT, Jane",The Greens,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),E,36639,5,"ARYA, Hawa",The Greens,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),E,36638,6,"WHEELER, Danielle",The Greens,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),F,37969,0,F Above-the-line Votes,,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),F,37143,1,"BODDY, Max",,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),F,37145,2,"GRENFELL, Oscar",,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",118
NSW,122,Greenway,11979,Pendle Hill (Greenway),G,37567,1,"PAYNE, Marise",Liberal,2
NSW,122,Greenway,11979,Pendle Hill (Greenway),G,37576,2,"CADELL, Ross",The Nationals,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),G,37577,3,"MOLAN, Jim",Liberal,2
NSW,122,Greenway,11979,Pendle Hill (Greenway),G,37578,4,"PENFOLD, Alison Louise",The Nationals,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),G,37584,6,"McGAHEY, Vicky",Liberal,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),H,37981,0,H Above-the-line Votes,Reason Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),H,37396,1,"CARO, Jane",Reason Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),I,37987,0,I Above-the-line Votes,Socialist Alliance,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),J,37988,0,J Above-the-line Votes,Federal ICAC Now,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),J,37478,1,"JONES, Ross",Federal ICAC Now,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),K,37977,0,K Above-the-line Votes,Australian Democrats,3
NSW,122,Greenway,11979,Pendle Hill (Greenway),K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),L,36766,2,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),M,37980,0,M Above-the-line Votes,"Shooters, Fishers and Farmers Party",4
NSW,122,Greenway,11979,Pendle Hill (Greenway),M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11979,Pendle Hill (Greenway),M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11979,Pendle Hill (Greenway),M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11979,Pendle Hill (Greenway),M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,11979,Pendle Hill (Greenway),N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),O,37971,0,O Above-the-line Votes,Informed Medical Options Party,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),P,37985,0,P Above-the-line Votes,The Great Australian Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),P,37446,1,"HOPKINS, Matthew",The Great Australian Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,6
NSW,122,Greenway,11979,Pendle Hill (Greenway),Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,122,Greenway,11979,Pendle Hill (Greenway),R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,122,Greenway,11979,Pendle Hill (Greenway),R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,122,Greenway,11979,Pendle Hill (Greenway),S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,10
NSW,122,Greenway,11979,Pendle Hill (Greenway),S,37750,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),S,37752,2,"GRIGG, Colin",Pauline Hanson's One Nation,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),S,37754,3,"SMITH, Roger",Pauline Hanson's One Nation,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),T,37970,0,T Above-the-line Votes,Liberal Democrats,13
NSW,122,Greenway,11979,Pendle Hill (Greenway),T,36414,1,"RUDDICK, John",Liberal Democrats,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),T,36418,2,"LARTER, John",Liberal Democrats,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),T,36422,3,"CALDWELL, James Arthur",Liberal Democrats,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),T,36427,4,"GUEST, Mark Antony",Liberal Democrats,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),U,37982,0,U Above-the-line Votes,Australian Values Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),U,36942,1,"CLANCY, Selena",Australian Values Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),U,36947,2,"GILBERT, Dave",Australian Values Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),V,37978,0,V Above-the-line Votes,Labor,141
NSW,122,Greenway,11979,Pendle Hill (Greenway),V,37168,1,"O'NEILL, Deborah",Labor,3
NSW,122,Greenway,11979,Pendle Hill (Greenway),V,37173,2,"McALLISTER, Jenny",Labor,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),V,37180,3,"MORRIS, Shireen",Labor,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),V,37182,4,"MYERS, Mich-Elle Elizabeth",Labor,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),V,37183,5,"ROSE, Kylie Anne",Labor,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),V,37185,6,"WARREN-SMITH, James",Labor,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),W,37967,0,W Above-the-line Votes,UAP,12
NSW,122,Greenway,11979,Pendle Hill (Greenway),W,36373,1,"MARTINO, Domenic Vincent",United Australia Party,2
NSW,122,Greenway,11979,Pendle Hill (Greenway),W,36378,2,"WRIGHTSON, Suellen",United Australia Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),W,36380,3,"MOORE, Wayne Leslie",United Australia Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),W,36383,4,"MARTIN, Michelle",United Australia Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),W,36386,5,"YAP, Johnny",United Australia Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),W,36390,6,"LOUGHREY, Kevin Andrew",United Australia Party,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),UG,37600,1,"LIM, Danny",Independent,1
NSW,122,Greenway,11979,Pendle Hill (Greenway),UG,37603,2,"COLLINS, Julie",Independent,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),UG,37639,3,"GRZIC, Warren",Independent,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),UG,37632,4,"LU, Guitang",Independent,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),UG,36068,5,"LAING, William",Independent,0
NSW,122,Greenway,11979,Pendle Hill (Greenway),ZZ,0,99,INFORMAL,,23
NSW,122,Greenway,31631,Quakers Hill West,A,37972,0,A Above-the-line Votes,Animal Justice Party,33
NSW,122,Greenway,31631,Quakers Hill West,A,36425,1,"BROLLO, Darren",Animal Justice Party,2
NSW,122,Greenway,31631,Quakers Hill West,A,36430,2,"POWER, Julie",Animal Justice Party,2
NSW,122,Greenway,31631,Quakers Hill West,B,37966,0,B Above-the-line Votes,TNL,1
NSW,122,Greenway,31631,Quakers Hill West,B,36771,1,"KEEN, Steve",TNL,0
NSW,122,Greenway,31631,Quakers Hill West,B,36773,2,"GREEN, Melissa",TNL,0
NSW,122,Greenway,31631,Quakers Hill West,C,37976,0,C Above-the-line Votes,Citizens Party,5
NSW,122,Greenway,31631,Quakers Hill West,C,37147,1,"LIU, Kingsley",Citizens Party,4
NSW,122,Greenway,31631,Quakers Hill West,C,37148,2,"LAWLER, Ann",Citizens Party,0
NSW,122,Greenway,31631,Quakers Hill West,D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,10
NSW,122,Greenway,31631,Quakers Hill West,D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,122,Greenway,31631,Quakers Hill West,D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,122,Greenway,31631,Quakers Hill West,E,37968,0,E Above-the-line Votes,The Greens,152
NSW,122,Greenway,31631,Quakers Hill West,E,36581,1,"SHOEBRIDGE, David",The Greens,6
NSW,122,Greenway,31631,Quakers Hill West,E,36585,2,"COHN, Amanda",The Greens,0
NSW,122,Greenway,31631,Quakers Hill West,E,36634,3,"FLOOD, Rochelle",The Greens,2
NSW,122,Greenway,31631,Quakers Hill West,E,36637,4,"SCOTT, Jane",The Greens,0
NSW,122,Greenway,31631,Quakers Hill West,E,36639,5,"ARYA, Hawa",The Greens,1
NSW,122,Greenway,31631,Quakers Hill West,E,36638,6,"WHEELER, Danielle",The Greens,0
NSW,122,Greenway,31631,Quakers Hill West,F,37969,0,F Above-the-line Votes,,2
NSW,122,Greenway,31631,Quakers Hill West,F,37143,1,"BODDY, Max",,0
NSW,122,Greenway,31631,Quakers Hill West,F,37145,2,"GRENFELL, Oscar",,0
NSW,122,Greenway,31631,Quakers Hill West,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",701
NSW,122,Greenway,31631,Quakers Hill West,G,37567,1,"PAYNE, Marise",Liberal,7
NSW,122,Greenway,31631,Quakers Hill West,G,37576,2,"CADELL, Ross",The Nationals,2
NSW,122,Greenway,31631,Quakers Hill West,G,37577,3,"MOLAN, Jim",Liberal,4
NSW,122,Greenway,31631,Quakers Hill West,G,37578,4,"PENFOLD, Alison Louise",The Nationals,0
NSW,122,Greenway,31631,Quakers Hill West,G,37581,5,"JARVIS, Mary-Lou",Liberal,1
NSW,122,Greenway,31631,Quakers Hill West,G,37584,6,"McGAHEY, Vicky",Liberal,1
NSW,122,Greenway,31631,Quakers Hill West,H,37981,0,H Above-the-line Votes,Reason Australia,4
NSW,122,Greenway,31631,Quakers Hill West,H,37396,1,"CARO, Jane",Reason Australia,0
NSW,122,Greenway,31631,Quakers Hill West,H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,122,Greenway,31631,Quakers Hill West,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,122,Greenway,31631,Quakers Hill West,I,37987,0,I Above-the-line Votes,Socialist Alliance,2
NSW,122,Greenway,31631,Quakers Hill West,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,2
NSW,122,Greenway,31631,Quakers Hill West,I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,122,Greenway,31631,Quakers Hill West,I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,122,Greenway,31631,Quakers Hill West,J,37988,0,J Above-the-line Votes,Federal ICAC Now,10
NSW,122,Greenway,31631,Quakers Hill West,J,37478,1,"JONES, Ross",Federal ICAC Now,0
NSW,122,Greenway,31631,Quakers Hill West,J,37489,2,"ANDERSON, Gabrielle",Federal ICAC Now,0
NSW,122,Greenway,31631,Quakers Hill West,K,37977,0,K Above-the-line Votes,Australian Democrats,4
NSW,122,Greenway,31631,Quakers Hill West,K,37392,1,"BATY, Steven James",Australian Democrats,0
NSW,122,Greenway,31631,Quakers Hill West,K,37403,2,"ROGERS, Suzanne",Australian Democrats,0
NSW,122,Greenway,31631,Quakers Hill West,K,37404,3,"RICHARDS, Craig Edward",Australian Democrats,0
NSW,122,Greenway,31631,Quakers Hill West,L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,15
NSW,122,Greenway,31631,Quakers Hill West,L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,0
NSW,122,Greenway,31631,Quakers Hill West,L,36766,2,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,0
NSW,122,Greenway,31631,Quakers Hill West,M,37980,0,M Above-the-line Votes,"Shooters, Fishers and Farmers Party",29
NSW,122,Greenway,31631,Quakers Hill West,M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",1
NSW,122,Greenway,31631,Quakers Hill West,M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,31631,Quakers Hill West,M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,31631,Quakers Hill West,M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,122,Greenway,31631,Quakers Hill West,N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,2
NSW,122,Greenway,31631,Quakers Hill West,N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,1
NSW,122,Greenway,31631,Quakers Hill West,N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
NSW,122,Greenway,31631,Quakers Hill West,O,37971,0,O Above-the-line Votes,Informed Medical Options Party,7
NSW,122,Greenway,31631,Quakers Hill West,O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,1
NSW,122,Greenway,31631,Quakers Hill West,O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,122,Greenway,31631,Quakers Hill West,P,37985,0,P Above-the-line Votes,The Great Australian Party,7
